MAPK7	52.904412923	55.010647280	56.905943021
UBE2C	52.616906416	54.683560384	56.590285217
ASTE1	52.423891949	54.447339525	56.335616989
LIG4	52.054002616	54.079123665	55.942961137
XRCC4	51.653587212	53.663130406	55.512630666
ATP5A1	51.401182876	53.266291967	55.122702873
ASPH	51.016297275	52.864053114	54.716384268
DRG2	50.686773422	52.489550835	54.314373250
RWDD1	50.498516573	52.309867553	54.538961187
ASNA1	50.605278672	52.267123392	54.562516733
HILPDA	50.395366787	52.036744546	54.310539124
GPX7	50.076464492	51.717689041	53.970116157
ATP5B	49.869237554	51.550753469	53.734459429
CRMP1	49.705757017	51.342739078	53.524205291
DPYSL3	49.488698346	51.207478060	53.287538018
LARP4B	49.137804123	50.844490674	52.909659380
GNB2L1	48.824980266	50.519209527	52.571756965
NUDT12	48.576087699	50.208243558	52.230772028
DPYSL2	48.290351388	49.945920554	51.928022685
DPYSL5	48.064090719	49.695461623	51.687534249
BLMH	47.950173447	49.512805593	51.579288766
EXD1	47.877500213	49.823919615	52.021710995
EML2	47.643575118	49.576897435	51.748583513
GEMIN7	47.407913743	49.316204955	51.483017162
GEMIN6	47.199838483	49.128476983	51.283219416
GTF2A2	46.887256771	48.803122831	50.943595447
GTF2A1	46.656165961	48.559263657	50.686276614
HIST1H4L	48.324402738	49.325889065	51.838031273
ASF1A	48.010781055	49.043086155	51.505356784
GTF2H3	47.872803019	48.941020465	51.470536762
GTF2H2C_2	48.258683854	49.600237838	52.119566216
ERCC2	47.951340383	49.284650373	51.787627034
CHMP4C	47.698261915	49.039337317	51.515480744
HMGB3P1	47.402929110	48.734210809	51.191948946
GSTM4	47.190722867	48.505420121	50.964906384
GSTM3	46.907444102	48.242209860	50.677022743
GSTM5	46.617891978	47.944418442	50.364201614
HID1	46.383913059	47.689508022	50.132462178
CSDE1	46.354147662	47.639630149	50.104244091
ADRM1	46.073213434	47.350905117	49.800582005
AGTR1	45.795675263	47.065658701	49.500632435
AKR7A2	45.687103439	47.072140944	49.496734824
AKR7A3	45.416636815	46.793231385	49.203374075
ALDH1A1	45.760267299	47.493541616	50.083036283
ANKRD13A	45.540314575	47.268446956	49.847267355
CDKAL1	45.770912128	47.346741057	49.871906617
LCK	45.506565508	47.084222882	49.601508052
AP1S2	45.243673235	46.817025443	49.315070126
AP1G1	45.012451514	46.591323117	49.075740037
AP1S3	46.232588928	49.189706649	51.300140175
AP2S1	45.969999215	48.910587544	51.008695734
ARMC1	45.710281705	48.634267421	50.720514455
MTFR1L	45.591904532	48.456375939	50.538883194
CRYBB1	45.338318526	48.188417572	50.258863298
ARNTL	45.142263947	47.954525631	50.016917224
CRYBB3	45.076254538	47.852987365	49.908037708
CRYBA1	45.166801667	47.845177599	49.857441730
